episode,mean score
1000,7528.2
2000,11107.2
3000,13307.8
4000,14953
5000,16437.3
6000,18313.7
7000,19349.7
8000,20669.6
9000,21375.8
10000,22866.7
11000,23845
12000,24660.7
13000,26181.3
14000,26952
15000,27468.3
16000,28963.2
17000,28560.6
18000,30275.4
19000,30818.3
20000,31590.9
21000,32798.4
22000,32522.2
23000,34676.7
24000,34973.9
25000,35805.5
26000,35762.2
27000,35855
28000,38354.6
29000,38841.3
30000,39223.2
31000,40318.7
32000,40410.7
33000,41901.4
34000,41839
35000,42098.5
36000,42613.4
37000,44436.2
38000,43694.4
39000,44708.5
40000,45828.3
41000,46638.2
42000,46680
43000,47071.2
44000,47723.7
45000,48271.6
46000,48554.9
47000,49107.3
48000,48942.9
49000,51269.2
50000,49807
51000,50833.7
52000,51151.9
53000,51136.7
54000,53482
55000,53663.5
56000,53031.9
57000,53389.5
58000,53417.4
59000,54052.9
60000,56158.9
61000,54891.1
62000,56435.5
63000,55722.1
64000,57448.4
65000,56688.5
66000,59162.6
67000,58058.8
68000,58040.9
69000,59333.9
70000,58521.4
71000,60250.7
72000,59120
73000,60226.1
74000,60607.5
75000,59757.5
76000,62082.1
77000,61298.1
78000,61299.6
79000,60594.1
80000,63218.6
81000,63730.8
82000,64027.3
83000,61389.7
84000,62909.6
85000,64122
86000,64646.2
87000,64598.2
88000,64713.5
89000,66287.8
90000,64188.1
91000,65296.2
92000,65327.9
93000,66183.7
94000,66241.2
95000,67392.4
96000,66153.6
97000,67645
98000,68305.3
99000,68990.8
100000,68914.1
