episode,mean score
1000,7894.22
2000,11418.1
3000,13002.8
4000,14780.2
5000,16588.9
6000,17648.5
7000,19036.3
8000,20445.3
9000,21627.7
10000,22585.2
11000,23300.2
12000,24572.9
13000,25540
14000,26562.6
15000,27857.5
16000,28814.4
17000,29568.9
18000,30368.1
19000,31003.1
20000,31712.8
21000,32348.9
22000,33545.1
23000,33220.2
24000,34549.7
25000,35853.6
26000,36554.3
27000,37229.1
28000,37223.5
29000,38066.6
30000,40455.6
31000,39397
32000,41265.2
33000,41364.2
34000,42512.5
35000,41593.7
36000,43132.6
37000,43213.1
38000,44504.6
39000,44553
40000,44740
41000,45406.2
42000,46099.9
