episode,mean score
1000,3078.18
2000,3133.57
3000,3086.58
4000,3160.34
5000,2940.77
6000,3106.82
7000,3205.62
8000,3158.4
9000,3091.36
10000,3115.17
11000,3169.97
12000,3103.88
13000,3238.26
14000,3132.77
15000,3144.55
16000,3099.05
17000,3157.33
18000,3177.19
19000,3088.78
20000,3073.53
21000,3113.57
22000,3132.64
23000,3094.92
24000,3122.71
25000,3076.84
26000,3078.68
27000,3073.32
28000,3126.94
29000,3022.79
30000,3121.37
31000,3151.44
32000,3150.67
33000,3089.66
34000,3135.55
35000,3110.97
36000,3105.27
37000,3167.36
38000,3158.8
39000,3108.57
40000,3072.62
41000,3086.08
42000,3041.46
43000,3170.93
44000,3145.36
45000,3116.46
46000,3077.54
47000,3146.6
48000,3117.71
49000,3154.59
50000,3125.11
51000,3086.37
52000,3046.31
53000,3168.61
54000,3082.04
55000,3193.3
56000,3151.95
57000,3102.03
58000,3164.02
59000,3135.47
60000,3070.13
61000,3147.59
62000,3139.51
63000,3117.33
64000,3062.17
65000,3134.8
66000,3180.81
67000,3133.33
68000,3204.82
69000,3082.64
70000,3087.5
71000,3178.92
72000,3068.34
73000,3137.38
74000,3079.74
75000,3149.26
76000,3154.32
77000,3084.38
78000,3077.66
79000,3166.06
80000,3113
81000,3065.24
82000,3149.25
83000,3138.02
84000,3209.25
85000,3068.64
86000,3181.98
87000,3088.36
88000,3107.34
89000,3141.41
90000,3158.85
91000,3133.59
92000,3157.84
93000,3066.6
94000,3078.73
95000,3154.62
96000,3188.14
97000,3063.73
98000,3080.95
99000,3088.5
100000,3101.41
